Name,Question_count,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11
William Paterson,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Other Political Party?,Born between 1800-1900?,Graduate level Education?,Service in Gov over 20yrs?
Melville W. Fuller,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 30yrs?,Democrat?,Birth before 1800?,Age Over 80?
Horace Gray,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 30yrs?,Democrat?,Married?,
William Henry Moody,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Other Political Party?,Democrat?,Married?,
Benjamin R. Curtis,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Other Political Party?,Born between 1800-1900?,,
David Davis,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Political Party?,Other Political Party?,Female?,Birth before 1800?
Joseph Bradley,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 30yrs?,Democrat?,Married?,
Johnnie Cochran,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Political Party?,Dead?,Age over 60?,Democrat?,
Robert Shapiro,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Service in Gov over 20yrs?,Dead?,Law?,
F. Lee Bailey,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Service in Gov over 20yrs?,Dead?,,
Shawn Chapman Holley,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Political Party?,Female?,Democrat?,,
Alan Dershowitz,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Service in Gov over 20yrs?,Dead?,Law?,
Robert Kardashian,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Political Party?,Dead?,Age over 60?,Lawyer?,
Christopher Darden,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Married?,Female?,Democrat?,Been President?,
Deborah Sampson,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Female?,Married?,Lawyer?,
Joan of Arc,9,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Married?,Self study?,Female?,,
Molly Pitcher,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Political Party?,Born between 1800-1900?,Law?,Army?
Nancy Wake,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Gov?,Age Over 80?,Service in Gov over 30yrs?,
Lyudmila Pavlichenko,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Gov?,Age Over 80?,Married?,
Hannah Szenes,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Gov?,Age Over 80?,Married?,
Jacqueline Cochran,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Graduate level Education?,Low Education?,Democrat?,Dead?,
Martha Raye,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Graduate level Education?,Low Education?,Age over 60?,Dead?,
Nancy Hart,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Political Party?,Born between 1800-1900?,Law?,Army?
Grace Hopper,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Service in Gov over 20yrs?,Dead?,Married?,
Linda Bray,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Service in Gov over 30yrs?,Military?,Age over 60?,Navy?,
Mary Walker,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Politics?,Political Party?,Born between 1800-1900?,Military?,
Michelle Howard,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Service in Gov over 30yrs?,Married?,Navy?,,
Ann Dunwoody,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Service in Gov over 30yrs?,Married?,Navy?,Air Force?,
Emily Perez,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Service in Gov over 30yrs?,Military?,Age over 60?,Married?,
Lori Robinson,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Service in Gov over 30yrs?,Married?,Navy?,Air Force?,
Janine Davidson,11,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Tech?,Work in Financial Services?,Military?,Married?,Service in Gov over 30yrs?
Susan Helms,11,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Tech?,Work in Financial Services?,Military?,Married?,Service in Gov over 30yrs?
Mary Jackson,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Service in Gov over 20yrs?,Politics?,Dead?,
Eileen Collins,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Tech?,Work in Financial Services?,Military?,Married?,
Sally Ride,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Gov?,Service in Gov over 30yrs?,Political Party?,,
Shoshana Johnson,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Service in Gov over 30yrs?,Military?,Age over 60?,Married?,
Rhonda Cornum,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Service in Industry over 30yrs?,Service in Gov over 30yrs?,,
Jeannie Leavitt,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Political Party?,Work in Financial Services?,Service in Gov over 30yrs?,,
Ellen Pawlikowski,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Gov?,Service in Gov over 30yrs?,Air Force?,Service in Gov over 40yrs?,
Heidi Berg,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Service in Gov over 30yrs?,Military?,Age over 60?,Navy?,
Patricia Horoho,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Service in Industry over 30yrs?,Service in Gov over 30yrs?,,
Ann E. Rondeau,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Graduate level Education?,Dead?,Married?,Service in Gov over 20yrs?,
Diana Holland,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Service in Gov over 30yrs?,Married?,College level Education?,,
Lillian Dunlap,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Service in Gov over 30yrs?,Married?,College level Education?,Army?,
Anna Mae Hays,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Service in Gov over 20yrs?,Dead?,Married?,
Mary Clarke,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Service in Gov over 30yrs?,Married?,College level Education?,Army?,
Flora Darpino,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Gov?,Service in Gov over 30yrs?,Air Force?,,
Dana Born,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Gov?,Service in Gov over 30yrs?,Air Force?,Service in Gov over 40yrs?,
Michelle Johnson,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Political Party?,Work in Financial Services?,Service in Gov over 30yrs?,,
Patricia Tracey,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Service in Gov over 30yrs?,Married?,Navy?,,
Lisa Jaster,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Political Party?,Work in Financial Services?,Service in Gov over 30yrs?,Service in Gov over 20yrs?,
Douglas MacArthur,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 40yrs?,Army?,Age Over 80?,
George S. Patton,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Female?,Age over 60?,Army?,
Norman Schwarzkopf,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Political Party?,Age over 60?,Dead?,Low Education?,
John J. Pershing,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 40yrs?,Army?,Age Over 80?,
Robert E. Lee,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Female?,Age over 60?,Army?,
William T. Sherman,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 40yrs?,Birth before 1800?,Graduate level Education?,Age Over 80?
Stonewall Jackson,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Female?,Age over 60?,Write Classic and Realism?,Poet?
Alexander the Great,11,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Married?,Self study?,Female?,Age over 50?,British?
Julius Caesar,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Married?,Low Education?,Service in Gov over 30yrs?,British?,
Horatio Nelson,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Married?,Low Education?,Service in Gov over 30yrs?,British?,
Arthur Wellesley,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Other Political Party?,Army?,British?,
Saladin,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Married?,Self study?,Female?,Age over 50?,
Richard the Lionheart,11,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Married?,Self study?,Female?,Age over 50?,British?
Oliver Cromwell,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Married?,Low Education?,Service in Gov over 30yrs?,Army?,
Bernard Montgomery,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Other Political Party?,Army?,British?,
Erwin Rommel,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Medicine?,College level Education?,Service in Gov over 20yrs?,Army?,
Karl Doenitz,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Gov over 20yrs?,Other Political Party?,Army?,Political Party?,
Isoroku Yamamoto,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Medicine?,College level Education?,Service in Gov over 20yrs?,Army?,
Chester Nimitz,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 40yrs?,Army?,Birth before 1800?,
Omar Bradley,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 40yrs?,Birth before 1800?,Graduate level Education?,Age Over 80?
Curtis LeMay,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Democrat?,Justice?,Republican?,Dead?,
Jimmy Doolittle,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 40yrs?,Birth before 1800?,Graduate level Education?,
George C. Marshall,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Service in Gov over 20yrs?,Justice?,Service in Gov over 40yrs?,Army?,Age Over 80?,
Fei-Fei Li,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Humanities?,Tech?,Professor?,British?,
Cynthia Breazeal,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Service in Industry over 30yrs?,Service in Gov over 30yrs?,Age over 50?,
Kate Crawford,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Humanities?,Tech?,Professor?,Australian?,
Joy Buolamwini,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Actress?,Sports?,Music?,Graduate level Education?,
Regina Barzilay,9,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Tech?,Professor?,,
Yoky Matsuoka,9,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Tech?,Professor?,,
Kate Darling,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Female?,CEO?,Married?,,
Vivienne Ming,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Service in Industry over 30yrs?,Service in Gov over 30yrs?,Age over 50?,
Shafi Goldwasser,11,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Service in Industry over 40yrs?,Finance?,College level Education?,Australian?,Indian?
Cynthia Dwork,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Gov?,Age over 60?,Tech?,,
Daniela Rus,9,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Tech?,Professor?,,
Sue Black,11,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Service in Industry over 40yrs?,Married?,Graduate level Education?,Finance?,Tech?
Hannah Fry,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Humanities?,Tech?,Professor?,British?,
Amy Webb,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Female?,Service in Industry over 30yrs?,Age over 50?,CEO?,
Rosalind Picard,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Service in Industry over 30yrs?,Female?,Professor?,
Mary Lou Jepsen,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Gov?,Age over 60?,Work in Research Institutes?,,
Marissa Mayer,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Female?,CEO?,Age over 50?,,
Safra Catz,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Service in Industry over 40yrs?,Married?,Graduate level Education?,Tech?,
Ursula Burns,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Tech?,Female?,CEO?,On Forbes?,
Indra Nooyi,11,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Service in Industry over 40yrs?,Finance?,College level Education?,Australian?,Indian?
Reshma Saujani,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Female?,CEO?,Married?,Age over 50?,
Kimberly Bryant,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Female?,Service in Industry over 30yrs?,Age over 50?,Tech?,
Megan Smith,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Female?,CEO?,Married?,Age over 50?,
Emily Weiss,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Female?,Service in Industry over 30yrs?,Age over 50?,CEO?,
Arianna Huffington,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Age Over 80?,Humanities?,Doctor level Education?,Dead?,
Susan Kare,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Tech?,Female?,CEO?,,
Sophie Wilson,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Service in Industry over 40yrs?,Finance?,College level Education?,Tech?,
Ruchi Sanghvi,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Humanities?,Tech?,Professor?,Australian?,
Ada Lovelace,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Medicine?,College level Education?,Service in Gov over 20yrs?,Female?,
Annie Easley,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Doctor level Education?,Dead?,Married?,Work in Research Institutes?,
Radia Perlman,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Service in Industry over 30yrs?,Female?,Professor?,
Katherine Johnson,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Doctor level Education?,Dead?,Married?,Arts and humanities?,
Susan Wojcicki,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Female?,CEO?,Age over 50?,,
Ginni Rometty,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Tech?,Female?,CEO?,On Forbes?,
Elizabeth Feinler,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Doctor level Education?,Dead?,Married?,Work in Research Institutes?,
Mary Barra,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Tech?,Female?,CEO?,On Forbes?,
Demis Hassabis,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Work in Internet and E-commerce?,Service in Industry over 30yrs?,Age over 50?,Doctor level Education?,
Yoshua Bengio,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Tech?,Service in Industry over 30yrs?,Doctor level Education?,Work in Research Institutes?,
Yann LeCun,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Tech?,Service in Industry over 30yrs?,Doctor level Education?,Work in Research Institutes?,
Oren Etzioni,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Work in Internet and E-commerce?,Service in Industry over 30yrs?,Age over 60?,Work in Startups?,
Elon Musk,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Work in Internet and E-commerce?,Graduate level Education?,Service in Industry over 30yrs?,Chinese?,
Mark Zuckerberg,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Female?,Work in Startups?,Work in Major Tech?,On Forbes?,
Larry Page,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Female?,CEO?,On Forbes?,,
Tim Cook,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Tech?,Female?,Married?,,
Sundar Pichai,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Work in Internet and E-commerce?,Service in Industry over 30yrs?,Age over 50?,Doctor level Education?,
Reed Hastings,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Tech?,Female?,Married?,,
Brian Chesky,11,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Female?,Work in Startups?,Work in Major Tech?,Dead?,Married?
Travis Kalanick,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Female?,Work in Startups?,Married?,,
Evan Spiegel,11,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Female?,Work in Startups?,Work in Major Tech?,Dead?,Married?
Andrew Ng,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Work in Internet and E-commerce?,Service in Industry over 30yrs?,Age over 50?,Doctor level Education?,
Jeff Dean,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Female?,CEO?,Work in Major Tech?,,
Sebastian Thrun,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Work in Internet and E-commerce?,Service in Industry over 30yrs?,Age over 50?,Doctor level Education?,
Ray Kurzweil,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Doctor level Education?,Investor?,Tech?,
Peter Thiel,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Tech?,Service in Industry over 30yrs?,Doctor level Education?,Work in Internet and E-commerce?,
Tony Fadell,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Female?,Work in Startups?,Married?,,
Kevin Systrom,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Female?,Work in Startups?,Work in Major Tech?,On Forbes?,
Masayoshi Son,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Work in Internet and E-commerce?,Graduate level Education?,Age over 50?,Service in Industry over 40yrs?,
Daniel Zhang,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Work in Internet and E-commerce?,Graduate level Education?,Age over 50?,Service in Industry over 40yrs?,
Zhang Yiming,9,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Work in Internet and E-commerce?,Graduate level Education?,Age over 50?,,
Wang Xing,9,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Work in Internet and E-commerce?,Graduate level Education?,Age over 50?,,
Steve Jobs,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Female?,Work in Startups?,Work in Major Tech?,Dead?,
Jeff Bezos,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Female?,CEO?,On Forbes?,,
Satya Nadella,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Work in Internet and E-commerce?,Service in Industry over 30yrs?,Age over 60?,Work in Startups?,
Andrew Jassy,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Female?,CEO?,On Forbes?,,
John Giannandrea,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Tech?,Service in Industry over 30yrs?,Work in Internet and E-commerce?,Married?,
Jeff Williams,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Female?,CEO?,Work in Major Tech?,,
Terry Myerson,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Female?,CEO?,Work in Major Tech?,,
Ma Yun,9,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Tech?,Service in Industry over 30yrs?,Work in Internet and E-commerce?,,
Lei Jun,9,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Work in Internet and E-commerce?,Graduate level Education?,Service in Industry over 30yrs?,,
Ma Huateng,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Work in Internet and E-commerce?,Graduate level Education?,Service in Industry over 30yrs?,Chinese?,
Kenichiro Yoshida,9,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Work in Internet and E-commerce?,Service in Industry over 30yrs?,Age over 60?,,
Shigeru Miyamoto,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Tech?,Service in Industry over 30yrs?,Doctor level Education?,Work in Internet and E-commerce?,
Lee Jae-yong,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Tech?,Service in Industry over 30yrs?,Work in Internet and E-commerce?,Married?,
Ren Zhengfei,11,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Humanities?,Fine Arts?,British?,Service in Industry over 40yrs?,Other Political Party?
Sam Altman,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Female?,Work in Startups?,Married?,,
Janet Yellen,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Fine Arts?,Arts and humanities?,Finance?,Work in Gov?,
Christine Lagarde,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Service in Industry over 40yrs?,Finance?,Work in Financial Services?,Work in Bank?,
Abigail Johnson,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Female?,On Forbes?,Age Over 70?,
Mary Callahan Erdoes,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Political Party?,Work in Financial Services?,Service in Industry over 30yrs?,On Forbes?,
Marillyn Hewson,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Female?,On Forbes?,Age Over 70?,
Lynn Good,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Female?,Service in Industry over 30yrs?,Age over 50?,Tech?,
Mellody Hobson,9,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Female?,Service in Industry over 30yrs?,Age over 60?,,
Adena Friedman,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Political Party?,Work in Financial Services?,Service in Industry over 30yrs?,Female?,
Gillian Tett,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Tech?,Finance?,British?,
Naina Lal Kidwai,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Service in Industry over 40yrs?,Finance?,Work in Financial Services?,Married?,
Neelie Kroes,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Age Over 80?,Fashion?,Arts and humanities?,Dead?,
Chanda Kochhar,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Service in Industry over 40yrs?,Married?,Graduate level Education?,Tech?,
Laura Cha,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Political Party?,Service in Industry over 30yrs?,Work in Bank?,
Karen Peetz,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Female?,Service in Industry over 30yrs?,Age over 60?,Age Over 70?,
Tidjane Thiam,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Service in Industry over 40yrs?,Married?,British?,CEO?,
Sallie Krawcheck,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Political Party?,Work in Financial Services?,Service in Industry over 30yrs?,On Forbes?,
